"timestamp","question 1","question 2","question 3","question 4","question 5","question 6","question 7","question 8","question 9","question 10","question 11","question 12","question 13","question 14"
"2022/09/02 2:28:45 PM GMT+2","A","5","6","5","6","6","4","6","6","2","3","C","B","A"
"2022/09/02 2:28:45 PM GMT+2","B","7","2","6","6","6","5","5","3","6","3","A","A","A"
"2022/09/02 2:28:46 PM GMT+2","A","2","1","4","7","7","1","6","3","2","7","B","B","B"
"2022/09/02 2:28:46 PM GMT+2","C","2","5","7","6","6","5","6","6","6","4","B","A","B"
"2022/09/02 2:28:47 PM GMT+2","B","6","4","7","7","5","4","4","6","6","2","A","B","A"
"2022/09/02 2:28:47 PM GMT+2","B","5","2","5","7","3","3","2","2","5","7","C","A","C"
"2022/09/02 2:28:48 PM GMT+2","A","2","1","4","2","7","3","6","7","1","4","A","B","A"
"2022/09/02 2:28:49 PM GMT+2","A","3","1","6","7","5","5","5","5","2","3","C","C","C"
"2022/09/02 2:28:49 PM GMT+2","A","1","1","1","1","1","4","3","5","7","6","A","A","C"
"2022/09/02 2:28:49 PM GMT+2","A","3","1","3","7","6","2","6","4","1","4","B","B","A"
"2022/09/02 2:28:50 PM GMT+2","C","4","2","7","7","7","2","7","2","3","3","B","B","A"
"2022/09/02 2:28:51 PM GMT+2","C","1","4","7","7","7","3","6","2","2","4","B","B","B"
"2022/09/02 2:28:51 PM GMT+2","B","1","2","7","1","7","2","6","3","6","2","A","A","B"
"2022/09/02 2:28:52 PM GMT+2","B","4","1","1","6","5","3","5","3","5","2","C","C","C"
"2022/09/02 2:28:53 PM GMT+2","B","2","2","3","4","7","5","5","5","4","4","B","A","B"
"2022/09/02 2:28:53 PM GMT+2","B","2","3","6","5","6","4","6","3","4","4","B","B","B"
"2022/09/02 2:28:53 PM GMT+2","B","4","6","7","2","7","5","6","6","1","2","B","C","C"
"2022/09/02 2:28:55 PM GMT+2","B","1","1","5","6","6","3","6","3","3","4","A","A","A"
"2022/09/02 2:28:55 PM GMT+2","B","1","7","1","1","1","2","1","2","5","5","C","A","B"
"2022/09/02 2:28:56 PM GMT+2","A","3","5","5","6","4","5","2","3","3","2","C","A","C"
"2022/09/02 2:28:58 PM GMT+2","A","7","3","6","1","3","2","4","1","5","4","C","C","C"
"2022/09/02 2:28:59 PM GMT+2","C","1","1","7","5","5","4","3","3","3","4","B","A","B"
"2022/09/02 2:29:01 PM GMT+2","C","2","6","6","7","1","2","4","2","6","6","B","B","A"
"2022/09/02 2:29:04 PM GMT+2","C","4","2","6","7","5","3","6","4","4","5","C","A","A"
"2022/09/02 2:29:08 PM GMT+2","A","1","1","5","2","3","3","2","1","1","4","C","C","A"
"2022/09/02 2:29:12 PM GMT+2","B","2","2","5","6","6","3","5","6","3","3","A","A","A"
"2022/09/02 2:29:18 PM GMT+2","B","3","5","4","3","2","4","6","5","6","5","A","A","A"
"2022/09/02 2:29:27 PM GMT+2","C","2","7","7","1","2","3","6","6","5","3","B","A","B"
"2022/09/02 2:29:31 PM GMT+2","B","2","2","6","3","5","4","5","5","4","3","C","A","C"
"2022/09/02 2:29:43 PM GMT+2","C","3","5","6","7","7","3","5","7","5","4","A","A","C"
"2022/09/02 2:29:52 PM GMT+2","C","1","2","7","7","6","4","6","6","3","4","C","A","C"
"2022/09/02 2:30:00 PM GMT+2","A","6","7","6","2","3","3","7","4","4","5","B","B","A"
"2022/09/02 2:36:17 PM GMT+2","A","5","3","5","3","4","4","4","3","4","4","C","C","C"
